"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Kuar 1900 Bar, San Martín 471, Ushuaia","lunes",6,0,-54.8063451,-68.3047366,2021-01-22
"2","Kuar 1900 Bar, San Martín 471, Ushuaia","lunes",7,0,-54.8063451,-68.3047366,2021-01-22
"3","Kuar 1900 Bar, San Martín 471, Ushuaia","lunes",8,0,-54.8063451,-68.3047366,2021-01-22
"4","Kuar 1900 Bar, San Martín 471, Ushuaia","lunes",9,0,-54.8063451,-68.3047366,2021-01-22
"5","Kuar 1900 Bar, San Martín 471, Ushuaia","lunes",10,0,-54.8063451,-68.3047366,2021-01-22
"6","Kuar 1900 Bar, San Martín 471, Ushuaia","lunes",11,0,-54.8063451,-68.3047366,2021-01-22
"7","Kuar 1900 Bar, San Martín 471, Ushuaia","lunes",12,10.5,-54.8063451,-68.3047366,2021-01-22
"8","Kuar 1900 Bar, San Martín 471, Ushuaia","lunes",13,12.75,-54.8063451,-68.3047366,2021-01-22
"9","Kuar 1900 Bar, San Martín 471, Ushuaia","lunes",14,13.5,-54.8063451,-68.3047366,2021-01-22
"10","Kuar 1900 Bar, San Martín 471, Ushuaia","lunes",15,15,-54.8063451,-68.3047366,2021-01-22
"11","Kuar 1900 Bar, San Martín 471, Ushuaia","lunes",16,15,-54.8063451,-68.3047366,2021-01-22
"12","Kuar 1900 Bar, San Martín 471, Ushuaia","lunes",17,21,-54.8063451,-68.3047366,2021-01-22
"13","Kuar 1900 Bar, San Martín 471, Ushuaia","lunes",18,45,-54.8063451,-68.3047366,2021-01-22
"14","Kuar 1900 Bar, San Martín 471, Ushuaia","lunes",19,48.75,-54.8063451,-68.3047366,2021-01-22
"15","Kuar 1900 Bar, San Martín 471, Ushuaia","lunes",20,29.25,-54.8063451,-68.3047366,2021-01-22
"16","Kuar 1900 Bar, San Martín 471, Ushuaia","lunes",21,35.25,-54.8063451,-68.3047366,2021-01-22
"17","Kuar 1900 Bar, San Martín 471, Ushuaia","lunes",22,45,-54.8063451,-68.3047366,2021-01-22
"18","Kuar 1900 Bar, San Martín 471, Ushuaia","lunes",23,39.75,-54.8063451,-68.3047366,2021-01-22
"19","Kuar 1900 Bar, San Martín 471, Ushuaia","martes",6,0,-54.8063451,-68.3047366,2021-01-22
"20","Kuar 1900 Bar, San Martín 471, Ushuaia","martes",7,0,-54.8063451,-68.3047366,2021-01-22
"21","Kuar 1900 Bar, San Martín 471, Ushuaia","martes",8,0,-54.8063451,-68.3047366,2021-01-22
"22","Kuar 1900 Bar, San Martín 471, Ushuaia","martes",9,0,-54.8063451,-68.3047366,2021-01-22
"23","Kuar 1900 Bar, San Martín 471, Ushuaia","martes",10,0,-54.8063451,-68.3047366,2021-01-22
"24","Kuar 1900 Bar, San Martín 471, Ushuaia","martes",11,0,-54.8063451,-68.3047366,2021-01-22
"25","Kuar 1900 Bar, San Martín 471, Ushuaia","martes",12,14.25,-54.8063451,-68.3047366,2021-01-22
"26","Kuar 1900 Bar, San Martín 471, Ushuaia","martes",13,16.5,-54.8063451,-68.3047366,2021-01-22
"27","Kuar 1900 Bar, San Martín 471, Ushuaia","martes",14,18.75,-54.8063451,-68.3047366,2021-01-22
"28","Kuar 1900 Bar, San Martín 471, Ushuaia","martes",15,20.25,-54.8063451,-68.3047366,2021-01-22
"29","Kuar 1900 Bar, San Martín 471, Ushuaia","martes",16,22.5,-54.8063451,-68.3047366,2021-01-22
"30","Kuar 1900 Bar, San Martín 471, Ushuaia","martes",17,27,-54.8063451,-68.3047366,2021-01-22
